Item,SKU,UPC,Unit Cost,Case Size
Soft Soap/Liquid Hand Soap Refill/Pumpkin/6/50/oz,27854-02194,827854021940,3.6,6
Dove/Soap USA/Mens Charcoal Clay 6pk/12/3.75/oz,11111-00594,011111005945,6.3117,12
Dove/Soap USA/Pink 6pk/12/3.75/oz,11111-61015,011111610156,6.3117,12
Dove/Soap/Shea Butter/48/3.17/oz,12561-05816,8711600804357,0.7785,48
Old Spice/Bar Soap/Saquon Soar Fresh Pine/12/5/oz,12044-06809,012044068090,1.5675,12
Soft Soap/Liquid Hand Soap/Milk & Honey WPump/6/7.5/oz,74182-45642,074182290948,1.2917,6
Lever 2000/Soap/Original 8pk/4/3.75/oz,11111-02707,011111325388,4.1975,4
Dove/Soap USA/Rebalancing White Peach Rice Milk 6pk/12/3.75/oz,11111-04898,011111048980,6.3117,12
Yardley/Soap/English Lavender 4pk/12/4.25/oz,41840-87370,041840873706,3.9883,12
Dove/Soap USA/Shea Butter 6pk/12/3.75/oz,11111-07626,011111076266,6.3117,12
"Soft Soap/Liquid Hand Soap Display/18 Frosty Mint, 18 Wonderful Winter WPump/36/11.25/oz",27854-01852,827854003632003700,1.0414,36
Yardley/Soap/Aloe Avocado 4pk/12/4.25/oz,41840-87371,041840873713,3.9883,12
Coast/Soap/Classic Scent 16pk/4/4/oz,16559-01414,816559014142,10.0875,4
Ditto/Liquid Hand Soap/(Compare To Soft Soap) Energizing Cucumber & Melon/12/13.5/oz,14367-35404,714367354057,1.0417,12
Soft Soap/Liquid Hand Soap/Fresh Breeze WPump/6/7.5/oz,74182-45635,074182270933,1.2917,6
Irish Spring/Soap/Original 3pk/8/3.75/oz,35000-14223,035000141088,1.7363,8
Yardley/Soap/Oatmeal & Almond 4pk/12/4.5/oz,41840-87375,041840873751,3.9883,12
Dove/Soap/Gentle Exfoliating 4pk/12/3.2/oz,17163-60731,850050048237,3.3667,12
Olay/Soap/Age Defying 4pk/12/3.17/oz,37000-84425,037000844259,3.6717,12
Dial/Liquid Hand Soap Pump/Ocean Splash/12/7.5/oz,17000-16986,017000169859,1.3325,12
Dove/Soap USA/White 6pk/12/3.75/oz,11111-61011,011111610118,6.3117,12
Dove/Liquid Hand Soap/Cucumber/24/8.45/oz,01030-73645,8901030736452,1.315,24
Dove/Liquid Hand Soap/Deeply Nourishing/24/8.45/oz,01030-73646,8901030736469,1.315,24
Suave/Liquid Hand Soap/Cocoa Butter Shea/4/13.5/oz,79400-49941,079400499417,1.315,4
Dove/Liquid Hand Soap/Shea Butter/24/8.45/oz,01030-73644,8901030736445,1.315,24
Zest/Soap/Aqua 16pk/4/4/oz,16559-01026,816559010267,11.14,4
Irish Spring/Soap/Aloe 3pk/18/3.75/oz,09546-69528,035000141163,1.8411,18
Suave/Liquid Hand Soap/Bamboo & Jasmine WPump/4/13.5/oz,79400-49089,079400490896,1.315,4
Soft Soap/Liquid Hand Soap/Aquarium WPump/6/7.5/oz,74182-45636,074182268008,1.2917,6
Suave/Liquid Hand Soap/Eucalyptus & Orchid WPump/4/13.5/oz,79400-50155,079400501554,1.315,4
Soft Soap/Liquid Hand Soap/Lavender Bloom wPump/6/11.25/oz,27854-02082,827854020820,1.3683,6
Soft Soap/Liquid Hand Soap/Aloe WPump/6/7.5/oz,74182-45634,074182260125,1.2917,6
Soft Soap/Liquid Hand Soap Pump/Coconut/6/7.5/oz,27854-02718,827854027188,0.89,6
Irish Spring/Soap/Original 20pk/4/4/oz,27854-00149,827854001492,11.8325,4
Soft Soap/Liquid Hand Soap Refill/Antibacterial White Tea & Berry/6/50/oz,74182-46323,074182463236,3.6,6
Irish Spring/Soap/Moisture Blast 2pk/36/3.2/oz,27854-01077,035000141538,1.0308,36
Soft Soap/Liquid Hand Soap Refill/Antibacterial Fresh Citrus/6/50/oz,007418-245991,074182459918,3.6,6
Irish Spring/Soap/Original 8pk/4/3.7/oz,35000-99562,035000995629,6.8275,4
Suave/Liquid Hand Soap/Black Raspberry/4/13.5/oz,79400-49940,079400499400,1.315,4
Dove/Soap USA/Men + Care Extra Fresh 12pk/6/3.75/oz,11111-01690,011111016903,11.8767,6
Dove/Soap/Shea Butter 4pk/12/3.2/oz,06306-30836,850050048220,3.3667,12
Dove/Soap/Pink - Beauty Cream Bar/48/4.8/oz,01056-34928,7501056349288,0.9,48
