Item,SKU,UPC,Unit Cost,Case Size
"Febreze AUTO Air Freshener Vent Clip Noir Scent, 0.07oz 416/pt 8/cs",71991,030772071991,0.2812,8
Febreze Auto Air Freshener Vent Clip Old Spice Timber 2pk 0.06oz Each 320/pt 8/cs,07198,030772071984,0.4562,8
Febreze Auto Car Air Freshener Vent Clip Old Spice Scent 2 Pack 0.07 fl oz Each 200/pt 12/cs,01102-12,030772011027,0.2917,12
Febreze Car Air Freshener Vent Clip - Gain Moonlight Breeze Scent 3pk 0.20 oz 200/pt 8/cs,08546,030772008546,0.7312,8
"Febreze Car Vent Clip Air Freshener with Gain Scent, Island Fresh 1ct 0.06 fl oz 8/cs",90499,037000904991,0.2812,8
"Febreze Fabric Extra Strength Air Freshener Original Scent, 14.8 oz1 00/pt 6/cs",08858-6,030772088586,0.625,6
Febreze Fabric Gain Original 14.8oz 80/pt 8/cs,08938,030772089385,0.4688,8
Febreze Fabric Refresher Gain Island Fresh Scent 14.8 fl oz 100/pt 6/cs,08937-6,030772089378,0.625,6
"Febreze Fabric Refresher, Downy April Fresh Scent, 14.8 oz 80/pt 8/cs",08936,030772089361,0.4688,8
"Febreze Fabric Refresher, Pet Odor Fresh Scent, 14.8 oz 80/pt 8/cs",08866,030772088661,0.4688,8
"Febreze Light AIR Mist, Lavender 8.8 oz Each 2pk 180/pt 3/cs",80657,037000806578,1.0833,3
"Febreze Mist Air Freshener 8.1oz Display, 12/Twilight Lavender, 12/Linen & Sky, 12/Original, 12/Hawaiian",23710,030772211175,0.0573,48
Febreze Mountain Touch Fabric Spray Fabric Refresher 16.9 FL oz 100/pt 6/cs,47712,030772047712,0.625,6
Febreze Ocean Touch Fabric Spray Fabric Refresher 16.9 FL oz 100/pt 6/cs,04767,030772047675,0.6083,6
Febreze Rainforest Touch Fabric Spray Fabric Refresher 16.9 FL oz 100/pt 6/cs,07802,030772207802,0.625,6
"Febreze To Go Fabric Refresher With Gain Original Scent, 2.8-Ounce 12/cs",31972-12,037000319726,0.2042,12
Febreze Unstopables Air Mist Breeze Air Freshener 8.8oz 180/pt 6/cs,80315,037000803157,0.5417,6
