Item,SKU,UPC,Unit Cost,Case Size
Easy-Off BBQ Grill Cleaner 14.50 oz 6/cs,87981,062338879819,0.625,6
Air Wick Plug in Scented Oil Starter Kit (Warmer + 1 Refill 0.67oz) Hawaii 252/pt 4/cs,89733-4,062338897332,0.775,4
Air Wick Plug in Scented Oil Starter Kit (Warmer + 1 Refill 0.67oz) Lavender & Chamomile 168/pt 6/cs,39476,062338939476,0.55,6
"3M Heavy Duty Multi Use Duct Tape, 1.88 IN x 20 YD (48 mm x 18,2 m) 16/cs",50261,068060502612,0.2812,16
Post-it Transparent Notes Removable (4/6pk) 36 ct 24/cs,85868,638060858684,0.1125,24
OxiClean White Revive Laundry Whitener & Stain Remover Pacs 24 Count 1.32 LB 4/cs,10068,757037000687,1.1875,4
OxiClean Versatile Stain Remover Powder 3 Lbs 110/pt 4/cs,15235,757037515235,1.5625,4
OxiClean Versatile Stain Remover Powder 1.77 lb 160/pt 4/cs,95086,757037950869,1.2125,4
AG1 Comprehensive and Convenient Daily Nutrition 30 Days Supply (12.70z) 14/cs,17032,850041703251,1.7857,14
AG1 Comprehensive and Convenient Daily Nutrition 30 Days Supply (12.70z) 14/cs,70339,850041703398,1.7857,14
Dove Deodorant Spray 200 ML Men + Care Fresh Antiperspirant 6/cs,29557,8720181295577,0.5,6
Dove Deodorant Spray 200 ML Men + Care Classic Antiperspirant 6/cs,29558,8720181295584,0.5,6
Dove Silky Velvet Shower Gel - 720 ml 12/cs,46845,8720181468452,0.3542,12
Dove Shower Gel 450ml Fresh Care 12/cs,47160,8720181471605,0.2792,12
Dove Deodorant Spray 5oz 150 ML Advance Care Original Scent 140/pt 24/cs,12721oz,8909106012721,0.1042,24
Dove Deodorant Spray 250 ML Advanced Care Cucumber & Green Tea Scent Antiperspirant 85/pt 24/cs,60283,8909106028319,0.125,24
Dove Body Wash 20oz Energize Pomegranate + Acai 192/pt 4/cs,07470-4,011111074705,1.625,4
Dove Body Wash 20oz refresh Cucumber + Green Tea 192/pt 4/cs,23311,011111123311,1.625,4
Dove Body wash 20oz Deep Moisture 192/pt 4/cs,12425,011111124257,1.625,4
Dove Body Wash 20oz Gentle Exfoliating 192/pt 4/cs,12518,011111125186,1.625,4
Dial Hand Soap 11oz Limited Edition Antibacterial Frosted Cranberry & Pine Scent 140/pt 12/cs,35951,017000359519,0.1875,12
Tresseme Freeze Hold Hair Spray 11oz 156/pt 6/cs,64045,022400640457,0.9583,6
Combat Max Roach Killing Gel 2.1 oz 96/pt 12/cs,51960-12,023400519606,0.6458,12
"Always Ultra Thin Pads with Wings, Size 1 ,22 Count 140/pt 6/cs",03339-6,030772033395,0.75,6
"Always Ultra Thin Pads with Wings, Size 3 ,17 Count 128/plt 6/cs",03345,030772033456,0.75,6
always ultra thin extra heavy overnight pads with wings 15 count 128/pt 6/cs,03350,030772033500,0.75,6
ALWAYS Maxi Size 4 Overnight Pads With Wings 16 Count 126/pt 3/cs,03399-3,030772033999,1.5,3
ALWAYS Maxi Size 5 Extra Heavy Overnight Pads With Wings 14 Count 90/pt 3/cs,03400,030772034002,1.5,3
Mr. Clean Multi-Surface Cleaner with Febreze Meadows & Rain 41oz 120/pt 4/cs,10731,030772107317,1.375,4
"Tide Liquid Laundry Detergent Display, 16/Original 105oz, 12/Ultra OXI Max 92oz. 12/Free & Gentle 105oz,",21432,030772121047,0.3229,48
"ALWAYS Maxi Size 5 Extra Heavy Overnight Pads With Wings Unscented, 20 Count 45/pt 6/cs",17902,037000179023,1.0417,6
Cascade Complete Dishwasher Detergent Gel Fresh Scent 75 oz 60/pt 6/cs,33840-6,037000338406,1.2917,6
Always Maxi Overnight Pads - Size 4 - 28ct 36/pt 6/cs,38601,037000386018,0.975,6
"Gain Liquid Laundry Detergent 46oz Display, 56/Original, 28/Moonlight Breeze, 2/pt 84/cs",42944,037000558613,0.0744,84
"ALWAYS Infinity Flex Foam size 5, 11 each 6/cs",82121,037000821212,0.825,6
"Always Maxi Pads with Wings Extra Long, Unscented, Size 3, 26 Count 84/pt 3/cs",98347-3,037000983477,2.1667,3
Bic Disposable Razors Classic 5pk 80/pt 40/cs,70502,3086125705027,0.0225,40
Head & Shoulders Anti-Dandruff Shampoo Citrus Fresh 1000ml 4/cs,40985,8001841409856,1.875,4
