UPC,Description,Unit Cost,Qty
012044060063,OLD SPICE 16z FIJI LTN PALM TREE,4.75,1
012044066102,OLD SPICE 16z LTN STAR SHOWER MARIO,4.75,1
012044057285,OLD SPICE 3z LOTION SWAGGER,1.8,1
075609208348,OLAY 17z RETINOL24 BDY LTN W/PMP,6.5,1
012044060049,OLD SPICE 16z CAPTAIN LTN BERGAMOT,4.75,1
012044059999,OLD SPICE 16z GM LOTION LAV+MINT,5.5,1
012044060001,OLD SPICE 16z SWAGGER LTN CEDARWOOD,4.75,1
012044063101,OLD SPICE 3z TTL BDY DEO ALOE+RAIN,4.25,1
012044010693,OLD SPICE 4.25z CLASSIC SPLSH AFTER,4.8,1
6001087376167,PONDS 400ML MICELLAR WTR FLWLS RDNC,3.0,1
7501056330569,PONDS 400ML REJUVENESS CREMA,5.75,1
719346636933,REVLON 8z BRITANY SPEARS FANTASY MS,5.25,1
085805554927,REVLON 8z ELZBTH ARDEN GRN TEA MIST,5.25,1
012044010716,OLD SPICE 6.37z CLASSIC AFTR SHVE,6.0,1
6001087378185,PONDS 400ML MICELLAR WTR PIMPLE CLR,3.0,1
065656913715,Q-TIP 500CT COTTON SWABS,2.4,1
719346636933,REVLON 8z BRITNEY SPRS FANTASY MIST,5.25,1
085805548780,REVLON 8z ELZBTH ARDEN SNFLWRS MIST,5.25,1
085805554941,REVLON 8z LIZ ARDEN GREEN TEA MIST,5.25,1
3574661529240,SIMPLE 200ML SOOTHING FACIAL TONER,3.75,1
8710447172087,SIMPLE 25CT CLNSNG WIPE WATER BOOST,2.4,1
8710908371509,SIMPLE 400ML MICELLAR WATER,3.0,1
814655036952,SPA 1.7z HYDRTNG GEL CREAM,1.2,1
8720181113666,SIMPLE 125ML HYDRATING MIST,1.2,1
8720181209444,SIMPLE 25CT CLEANSING WIPES,2.4,1
8710908711619,SIMPLE 400ML HYDRTNG MICELLAR WATER,3.0,1
072785143999,SONOMA SPA 6z NPR VIT E + PANTHENOL,1.1,1
814655027868,SPA 30CT 4PK ASST FACIAL WIPES,1.8,1
814655020784,SPASCRIPTIONS 60CT ANTIAGE WIPE CIT,1.65,1
814655042007,SPATHECARY 4X30CT FACE WIPE COCONUT,1.8,1
7506306218093,ST IVES 13.5z LTN VIT E + AVCDO PMP,2.4,1
077043002032,ST IVES 21z LTN SMOOTH ROSE ARGN OI,4.25,1
8712561241434,ST IVES 35CT WIPES NORMAL/COMBO SKN,1.8,1
814655046036,SPASCRIPTIONS 60CT MICELLAR WIPE,1.65,1
814655042281,SPATHECARY 60CT WIPES ALOE VERA,1.65,1
077043608067,ST IVES 21z LTN SFTNING CCNT ORCHID,4.25,1
8712561241519,ST IVES 35CT WIPES GENTLE/SENSITIVE,1.8,1
6001087005654,VASELINE 250ML COCOA PETRLM JELLY,2.25,1
6001087365789,VASELINE 450ML BABY PETROLEUM JELLY,4.25,1
305210042889,VASELINE VPJ 13oz COCOA BUTTER,4.25,1
6001087357050,VIC 400ML LTN ALOE SOOTHE,2.4,1
6001087357043,VIC 400ML LTN DRY SKIN REPAIR,2.4,1
8886467039997,VIC 6.8z BODY OIL GEL COCOA RADIANT,5.75,1
305212345001,VASELINE JAR VPJ REG 13 OZ,4.25,1
8886304601141,VIC 200ML CALM HLNG BDY OIL GEL LVN,5.75,1
